Document ID,Document Type,Title,Author Names,Abstract,Publications,Meetings,Distribution Limits,Funding Numbers,Identifiers,Subject Categories,Related Documents,Record URL
20040141459,REPRINT,Physiology of a microgravity environment invited review: microgravity and skeletal muscle,"[""Fitts, R. H."",""Riley, D. R."",""Widrick, J. J.""]","Spaceflight (SF) has been shown to cause skeletal muscle atrophy; a loss in force and power; and, in the first few weeks, a preferential atrophy of extensors over flexors. The atrophy primarily results from a reduced protein synthesis that is likely triggered by the removal of the antigravity load. Contractile proteins are lost out of proportion to other cellular proteins, and the actin thin filament is lost disproportionately to the myosin thick filament. The decline in contractile protein explains the decrease in force per cross-sectional area, whereas the thin-filament loss may explain the observed postflight increase in the maximal velocity of shortening in the type I and IIa fiber types. Importantly, the microgravity-induced decline in peak power is partially offset by the increased fiber velocity. Muscle velocity is further increased by the microgravity-induced expression of fast-type myosin isozymes in slow fibers (hybrid I/II fibers) and by the increased expression of fast type II fiber types. SF increases the susceptibility of skeletal muscle to damage, with the actual damage elicited during postflight reloading. Evidence in rats indicates that SF increases fatigability and reduces the capacity for fat oxidation in skeletal muscles. Future studies will be required to establish the cellular and molecular mechanisms of the SF-induced muscle atrophy and functional loss and to develop effective exercise countermeasures.","[{""volume"":""89"",""submissionId"":20040141459,""issue"":""2"",""issn"":""8750-7587"",""id"":""5d38fcd1b22548209e25c2363881b32c"",""publicationName"":""Journal of applied physiology (Bethesda, Md. :  1985)"",""publicationDate"":""2000-08-01T00:00:00.0000000+00:00""}]",[],PUBLIC,[],undefined,"[""Aerospace Medicine""]",[],https://ntrs.nasa.gov/citations/20040141459
19950029079,REPRINT,Microgravity effects on 'postural' muscle activity patterns,"[""Layne, Charles S."",""Spooner, Brian S.""]","Changes in neuromuscular activation patterns associated with movements made in microgravity can contribute to muscular atrophy. Using electromyography (EMG) to monitor 'postural' muscles, it was found that free floating arm flexions made in microgravity were not always preceded by neuromuscular activation patterns normally observed during movements made in unit gravity. Additionally, manipulation of foot sensory input during microgravity arm flexion impacted upon anticipatory postural muscle activation.","[{""volume"":""14"",""submissionId"":19950029079,""issue"":""8"",""issn"":""0273-1177"",""isbn"":""0-08-042485-6"",""id"":""8dbfbc63c8834297b6047b6ee69de21b"",""publicationName"":""Life sciences and space research 25 (1). Gravitational biology; Interdisciplinary Scientific Commission F of the COSPAR Plenary Meeting, 29th, Washington, DC, Aug. 28-Sep. 5, 1992. A95-60632"",""publicationDate"":""1994-08-01T00:00:00.0000000+00:00""}]",[],PUBLIC,"[""NAGW-2328"",""NAGW-1197""]",undefined,"[""Aerospace Medicine""]","[{""id"":19950029033,""title"":""Life Sciences and Space Research 25 (1). Gravitational Biology; Interdisciplinary Scientific Commission F of the COSPAR Plenary Meeting, 29th, Washington, DC, Aug. 28-Sep. 5, 1992""},{""id"":19950029033,""title"":""Life Sciences and Space Research 25 (1). Gravitational Biology; Interdisciplinary Scientific Commission F of the COSPAR Plenary Meeting, 29th, Washington, DC, Aug. 28-Sep. 5, 1992""}]",https://ntrs.nasa.gov/citations/19950029079
20020080607,CONTRACTOR_OR_GRANTEE_REPORT,Skeletal Muscle Growth and Repair During Microgravity,"[""Schultz, Edward""]","This paper presents the final report on Skeletal Muscle Growth and Repair During Microgravity. This report covers the period of July 1, 1998 through June 30, 2002.","[{""submissionId"":20020080607,""id"":""6fbf5bc84c514e62bc6ade64a928b368"",""publicationDate"":""2002-01-01T00:00:00.0000000+00:00""}]",[],PUBLIC,"[""NAG2-1220""]",undefined,"[""Aerospace Medicine""]",[],https://ntrs.nasa.gov/citations/20020080607
20130000723,PREPRINT,Estimated Muscle Loads During Squat Exercise in Microgravity Conditions,"[""Fregly, Christopher D."",""Kim, Brandon T."",""Li, Zhao"",""DeWitt, John K."",""Fregly, Benjamin J.""]","Loss of muscle mass in microgravity is one of the primary factors limiting long-term space flight. NASA researchers have developed a number of exercise devices to address this problem. The most recent is the Advanced Resistive Exercise Device (ARED), which is currently used by astronauts on the International Space Station (ISS) to emulate typical free-weight exercises in microgravity. ARED exercise on the ISS is intended to reproduce Earth-level muscle loads, but the actual muscle loads produced remain unknown as they cannot currently be measured directly. In this study we estimated muscle loads experienced during squat exercise on ARED in microgravity conditions representative of Mars, the moon, and the ISS. The estimates were generated using a subject-specific musculoskeletal computer model and ARED exercise data collected on Earth. The results provide insight into the capabilities and limitations of the ARED machine.","[{""submissionId"":20130000723,""id"":""cd001d78caa9460bb12519567428021f"",""publicationDate"":""2012-06-20T00:00:00.0000000+00:00""}]","[{""country"":""Puerto Rico"",""submissionId"":20130000723,""endDate"":""2012-06-23T00:00:00.0000000+00:00"",""name"":""ASME 2012 Summer Bioengineering Conference (SBC2012)"",""location"":""Farjardo"",""id"":""a8d0ab6575734c51a5c97c4998b45f7c"",""startDate"":""2012-06-20T00:00:00.0000000+00:00""}]",PUBLIC,[],undefined,"[""Aerospace Medicine""]",[],https://ntrs.nasa.gov/citations/20130000723
19940009351,CONTRACTOR_REPORT,Renal function alterations during skeletal muscle disuse in simulated microgravity,"[""Tucker, Bryan J.""]","This project was to examine the alterations in renal functions during skeletal muscle disuse in simulated microgravity. Although this area could cover a wide range of investigative efforts, the limited funding resulted in the selection of two projects. These projects would result in data contributing to an area of research deemed high priority by NASA and would address issues of the alterations in renal response to vasoactive stimuli during conditions of skeletal muscle disuse as well as investigate the contribution of skeletal muscle disuse, conditions normally found in long term human exposure to microgravity, to the balance of fluid and macromolecules within the vasculature versus the interstitium. These two projects selected are as follows: investigate the role of angiotensin 2 on renal function during periods of simulated microgravity and skeletal muscle disuse to determine if the renal response is altered to changes in circulating concentrations of angiotensin 2 compared to appropriate controls; and determine if the shift of fluid balance from vasculature to the interstitium, the two components of extracellular fluid volume, that occur during prolonged exposure to microgravity and skeletal muscle disuse is a result, in part, to alterations in the fluid and macromolecular balance in the peripheral capillary beds, of which the skeletal muscle contains the majority of recruitment capillaries. A recruitment capillary bed would be most sensitive to alterations in Starling forces and fluid and macromolecular permeability.","[{""submissionId"":19940009351,""id"":""9f06c878b9de42ba93c1a5a1dd920d97"",""publicationDate"":""1992-10-31T00:00:00.0000000+00:00""}]",[],PUBLIC,"[""NCC2-556""]",undefined,"[""Aerospace Medicine""]",[],https://ntrs.nasa.gov/citations/19940009351
19900017137,OTHER,Effects of microgravity on rat muscle,"[""Riley, D. A.""]","It is well known that humans exposed to long term spaceflight experience undesirable progressive muscle weakness and increased fatigability. This problem has prompted the implementation of inflight exercise programs because most investigators believe that the major cause of diminished muscle performance is a combination of disuse and decreased workload. Inflight exercise has improved muscle health, but deficits have persisted, indicating that either the regimens utilized were suboptimal or there existed additional debilitating factors which were not remedied by exercise. Clarification of this question requires an improved understanding of the cellular and molecular basis of spaceflight-induced muscle deterioration. To this end, multiple investigations have been performed on the muscles from rats orbited 5 to 22 days in Cosmos biosatellites and Spacelab-3 (2,4,5,8,10 to 14,16,18,19,21 to 23,25,27,28). The eight Cosmos 1887 investigations examined the structural and biochemical changes in skeletal and cardiac muscles of rats exposed to microgravity for 12.5 days and returned to terrestrial gravity 2.3 days before tissues were collected. Even though interpretation of these results was complicated by the combination of inflight and postflight induced alterations, the consensus is that there is marked heterogeneity in both degree and type of responses from the whole muscle level down to the molecular level. Collectively, the muscle investigations of Cosmos 1887 clearly illustrate the wide diversity of muscle tissue responses to spaceflight. Judging from the summary report of this mission, heterogeneity of responses is not unique to muscle tissue. Elucidating the mechanism underlying this heterogeneity holds the key to explaining adaptation of the organism to prolonged spaceflight.","[{""submissionId"":19900017137,""id"":""c52f03084ffe4e2da3b39a19ea5e3209"",""publicationName"":""NASA, Ames Research Center, The US Experiments Flown on the Soviet Biosatellite Cosmos 1887"",""publicationDate"":""1990-02-01T00:00:00.0000000+00:00""}]",[],PUBLIC,[],undefined,"[""Life Sciences (General)""]",[],https://ntrs.nasa.gov/citations/19900017137
19910052860,REPRINT,An approach to counteracting long-term microgravity-induced muscle atrophy,"[""Tesch, P. A."",""Buchanan, P."",""Dudley, G. A.""]","To find means of alleviating muscle atrophy induced by long-term microgravity, the effects of a 19-week-long heavy-resistance training regime (using either concentric muscle actions only or concentric and eccentric muscle actions) on the strengths of the exercised knee extensor muscle group were investigated in two groups of male human subjects performing two types of training exercises: supine leg press or/and seated knee extension. Results show that a training program in which both the concentric and the eccentric muscle action was performed led to substantially greater increases in maximal muscle strength than when only concentric exercises were performed.","[{""volume"":""33"",""submissionId"":19910052860,""issn"":""0031-9376"",""id"":""b760971ff8c143edad1e8f31e0e4203b"",""publicationName"":""Physiologist, Supplement"",""publicationDate"":""1990-02-01T00:00:00.0000000+00:00""}]",[],PUBLIC,"[""NAS10-10285""]",undefined,"[""Aerospace Medicine""]",[],https://ntrs.nasa.gov/citations/19910052860
20040088747,REPRINT,Functional and structural adaptations of skeletal muscle to microgravity,"[""Fitts, R. H."",""Riley, D. R."",""Widrick, J. J.""]","Our purpose is to summarize the major effects of space travel on skeletal muscle with particular emphasis on factors that alter function. The primary deleterious changes are muscle atrophy and the associated decline in peak force and power. Studies on both rats and humans demonstrate a rapid loss of cell mass with microgravity. In rats, a reduction in muscle mass of up to 37% was observed within 1 week. For both species, the antigravity soleus muscle showed greater atrophy than the fast-twitch gastrocnemius. However, in the rat, the slow type I fibers atrophied more than the fast type II fibers, while in humans, the fast type II fibers were at least as susceptible to space-induced atrophy as the slow fiber type. Space flight also resulted in a significant decline in peak force. For example, the maximal voluntary contraction of the human plantar flexor muscles declined by 20-48% following 6 months in space, while a 21% decline in the peak force of the soleus type I fibers was observed after a 17-day shuttle flight. The reduced force can be attributed both to muscle atrophy and to a selective loss of contractile protein. The former was the primary cause because, when force was expressed per cross-sectional area (kNm(-2)), the human fast type II and slow type I fibers of the soleus showed no change and a 4% decrease in force, respectively. Microgravity has been shown to increase the shortening velocity of the plantar flexors. This increase can be attributed both to an elevated maximal shortening velocity (V(0)) of the individual slow and fast fibers and to an increased expression of fibers containing fast myosin. Although the cause of the former is unknown, it might result from the selective loss of the thin filament actin and an associated decline in the internal drag during cross-bridge cycling. Despite the increase in fiber V(0), peak power of the slow type I fiber was reduced following space flight. The decreased power was a direct result of the reduced force caused by the fiber atrophy. In addition to fiber atrophy and the loss of force and power, weightlessness reduces the ability of the slow soleus to oxidize fats and increases the utilization of muscle glycogen, at least in rats. This substrate change leads to an increased rate of fatigue. Finally, with return to the 1g environment of earth, rat studies have shown an increased occurrence of eccentric contraction-induced fiber damage. The damage occurs with re-loading and not in-flight, but the etiology has not been established.","[{""volume"":""204"",""submissionId"":20040088747,""issue"":""Pt 18"",""issn"":""0022-0949"",""id"":""73689f2bb84f40a0a51d499987a769b1"",""publicationName"":""The Journal of experimental biology"",""publicationDate"":""2001-09-01T00:00:00.0000000+00:00""}]",[],PUBLIC,[],undefined,"[""Life Sciences (General)""]",[],https://ntrs.nasa.gov/citations/20040088747
19950055916,REPRINT,Crustaceans as a model for microgravity-induced muscle atrophy,"[""Mykles, D. L.""]","Atrophy of skeletal muscles is a serious problem in a microgravity environment. It is hypothesized that the unloading of postural muscles, which no longer must resist gravity force, causes an accelerated breakdown of contractile proteins, resulting in reduction in muscle mass and strength. A crustacean model using the land crab, Gecarcinus lateralis, to assess the effects of spaceflight on protein meatabolism is presented. The model is compared to a developmentally-regulated atrophy in which a premolt reduction in muscle mass allows the withdrawal of the large claws at molt. The biochemical mechanisms underlying protein breakdown involves both Ca2(+) -dependent and multicatalytic proteolytic enzymes. Crustacean claw muscle can be used to determine the interactions between shortening and unloading at the molecular level.","[{""volume"":""17"",""submissionId"":19950055916,""issue"":""6-7"",""issn"":""0273-1177"",""id"":""42a1a325b3cc447e8152f6eb088764a1"",""publicationName"":""Advances in Space Research"",""publicationDate"":""1996-01-01T00:00:00.0000000+00:00""}]",[],PUBLIC,[],undefined,"[""Life Sciences (General)""]","[{},{}]",https://ntrs.nasa.gov/citations/19950055916
20180000833,ABSTRACT,Systemic Microgravity Response: Utilizing GeneLab to Develop Hypotheses for Spaceflight Risks,"[""Beheshti, Afshin"",""Fogle, Homer"",""Galazka, Jonathan "",""Kidane, Yared "",""Chakravarty, Kaushik"",""Berrios, Daniel C."",""Costes, Sylvain V.""]","Biological risks associated with microgravity is a major concern for space travel. Although determination of risk has been a focus for NASA research, data examining systemic (i.e., multi- or pan-tissue) responses to space flight are sparse. The overall goal of our work is to identify potential master regulators responsible for such responses to microgravity conditions. To do this we utilized the NASA GeneLab database which contains a wide array of omics experiments, including data from: 1) different flight conditions (space shuttle (STS) missions vs. International Space Station (ISS); 2) different tissues; and 3) different types of assays that measure epigenetic, transcriptional, and protein expression changes. We have performed meta-analysis identifying potential master regulators involved with systemic responses to microgravity. The analysis used 7 different murine and rat data sets, examining the following tissues: liver, kidney, adrenal gland, thymus, mammary gland, skin, and skeletal muscle (soleus, extensor digitorum longus, tibialis anterior, quadriceps, and gastrocnemius). Using a systems biology approach, we were able to determine that p53 and immune related pathways appear central to pan-tissue microgravity responses. Evidence for a universal response in the form of consistency of change across tissues in regulatory pathways was observed in both STS and ISS experiments with varying durations; while degree of change in expression of these master regulators varied across species and strain, some change in these master regulators was universally observed. Interestingly, certain skeletal muscle (gastrocnemius and soleus) show an overall down-regulation in these genes, while in other types (extensor digitorum longus, tibialis anterior and quadriceps) they are up-regulated, suggesting certain muscle tissues may be compensating for atrophy responses caused by microgravity. Studying these organtissue-specific perturbations in molecular signaling networks, we demonstrate the value of GeneLab in characterizing potential master regulators associated with biological risks for spaceflight.","[{""submissionId"":20180000833,""id"":""e0bbfce73d51446db12f0e694e91ee8f"",""publicationDate"":""2017-10-25T00:00:00.0000000+00:00""}]","[{""submissionId"":20180000833,""name"":""American Society for Gravitational and Space Research"",""location"":""Bristow, VA, United States"",""id"":""2d0ce10d532b40c4b7b01158f4444c3e""},{""country"":""United States"",""submissionId"":20180000833,""endDate"":""2017-10-28T00:00:00.0000000+00:00"",""sponsors"":[{""meta"":{""organization"":{""name"":""American Society for Gravitational and Space Research"",""location"":""Bristow, VA, United States""}},""meetingId"":""10c791cc4717459da4dff0bd65db3147"",""id"":""e97b995336d04c3298b112a8ae45d6d5""}],""name"":""American Society for Gravitational and Space Research (ASGSR)"",""location"":""Seattle, WA"",""id"":""10c791cc4717459da4dff0bd65db3147"",""startDate"":""2017-10-25T00:00:00.0000000+00:00""}]",PUBLIC,"[""NNA16BD14C"",""NNA14AB82C"",""NNJ15HK11B""]",undefined,"[""Aerospace Medicine""]","[{""id"":20170011266,""title"":""Systemic Microgravity Response: Utilizing GeneLab to Develop Hypotheses for Spaceflight Risks""}]",https://ntrs.nasa.gov/citations/20180000833
