Document ID,Document Type,Title,Author Names,Abstract,Publications,Meetings,Distribution Limits,Funding Numbers,Identifiers,Subject Categories,Related Documents,Record URL
19640001758,OTHER,Problems of space biology,"[""Gazenko, O. G."",""Genin, A. M."",""Sisakyan, N. M.""]","Space biology - effect of radiation exposure and weightlessness on organisms, and space food study","[{""submissionId"":19640001758,""id"":""10af8dcd512a445ba443c99b3d46c3cb"",""publicationDate"":""1963-11-01T00:00:00.0000000+00:00""}]",[],PUBLIC,[],undefined,"[""Masers""]",[],https://ntrs.nasa.gov/citations/19640001758
20210018870,PRESENTATION,New developments in space radiation research at NASA: Annotating data using a novel radiation biology ontology,"[""Jack Miller"",""Paul N. Schofield"",""Luke T. Slater"",""Sylvain V. Costes"",""Daniel C Berrios""]","Like many interdisciplinary sciences, data producers and consumers in the field of radiation biology often use a wide variety of terminology to describe their experiments and data.  Furthermore, space systems and technologies are rapidly evolving, and a shared understanding and common terminology for these is also lacking.  The efficiency of research organizations can be enhanced by standardizing metadata through the use of knowledge resources like ontologies. Employing a sophisticated model such as a formal ontology to standardize metadata enables automated data acquisition processes and supports more complete, accurate meta-analysis through more efficient and complete data discovery and retrieval, particularly when using multiple data sources.  Thus, we developed the Radiation Biology Ontology (RBO) in order to improved radiation biology metadata uniformity and transparency.  We used open-source software (the Ontology Development Kit, Protégé and WebProtégé) and worked within the OBO Foundry framework, which includes a set of ontology development principles and practices for ontology consistency, uniformity, and accountability.  The RBO has now been incorporated into two radiation research data repositories, NASA’s GeneLab omics database (https://genelab.nasa.gov), and the European Commission STORE database (https://www.storedb.org/).  Continuous build integration tools allowed our international RBO collaboration to be more efficient and focus its efforts on semantic model design. Currently, the RBO contains over 300 annotated classes and individuals specific to the study of radiation on biological systems, as well as imports of many additional classes from other OBO Foundry ontologies that relate to and/or provide context for these RBO entities. We publish the RBO through the OBO Foundry, so that it is available for browsing, download, and querying through NCBI Bioportal web site and application programming interface. The NASA Ames Life Science Data Archive (ALSDA) is also in the process of adopting use of the RBO, taking NASA one step closer to a knowledge-based system for space biology data.     It is our hope that the global communities of radiation research Investigators, data curators and data analysts can similarly leverage the RBO and will contribute to its further development.",[],"[{""country"":""PR"",""submissionId"":20210018870,""endDate"":""2021-10-09T07:00:00.0000000+00:00"",""sponsors"":[{""organizationId"":""426499858bfb5eeebee9bd0b63129b00"",""meta"":{""organization"":{""name"":""Radiation Research Society"",""location"":""Bozeman, Montana, United States""}},""meetingId"":""9b3308fff29b45baa6a3869d5d10cec8"",""id"":""26cb96f7c6f74b64b6e57e8a2067be68""}],""name"":""Radiation Research Society's 67th Annual Meeting"",""location"":""San Juan"",""id"":""9b3308fff29b45baa6a3869d5d10cec8"",""url"":""https://na.eventscloud.com/website/23992/rrs21home/"",""startDate"":""2021-10-03T07:00:00.0000000+00:00""}]",PUBLIC,"[""NNA14AB82C""]",undefined,"[""Life Sciences (General)""]",[],https://ntrs.nasa.gov/citations/20210018870
19670030634,CONTRACTOR_REPORT,Workshop conference on space radiation biology Final report,undefined,Conference on space radiation biology,"[{""submissionId"":19670030634,""id"":""71c63c02fabc4555aff111d5dc434b9f"",""publicationDate"":""1965-09-01T00:00:00.0000000+00:00""}]",[],PUBLIC,[],undefined,"[""Biosciences""]",[],https://ntrs.nasa.gov/citations/19670030634
20230012405,POSTER,Biological Space Radiation Countermeasures to Enable Long Duration Exploration Missions,"[""Brock J Sishc"",""Janice A Zawaski"",""Janapriya Saha"",""Gregory G Nelson"",""S Robin Elgart""]","NASA’s career radiation limit for astronauts is 600 mSv. Currently planned missions beyond low Earth orbit (LEO) will expose crew to at least double that amount of radiation (for Mars missions). Therefore, to enable long duration exploration, countermeasures need to be deployed to reduce the long-term health outcomes of space radiation exposure. Limitations to the ability of spacecraft to shield against the high energy charged particles of the space radiation environment necessitate alternative methods to reduce overall space radiation risk for carcinogenesis. Recent successes in the arenas of Acute Radiation Syndrome (ARS) and clinical radiotherapy have demonstrated the efficacy of compound-based/biologicals in reducing the detrimental long term health outcomes associated with space radiation exposure. In recent years, the Space Radiation Element has funded the investigation of several such compounds including Avasopasem Manganese, CDDO-Me, Metformin, and γ-tocotrienol. The demonstrated efficacy of these compounds in reducing carcinogenesis, central nervous system, and cardiovascular disease risks demonstrate the need for, and potential benefit of, a robust countermeasure identification and development program with an initial starting suite of compounds available to validate others. The authors would also like to present highlights of a recent Space Radiation Element sponsored issue of Life Sciences in Space Research entitled “Breaking the Limit” on this specific topic.  ",[],"[{""country"":""CA"",""submissionId"":20230012405,""endDate"":""2023-08-30T05:00:00.0000000+00:00"",""sponsors"":[{""meta"":{""organization"":{""name"":""International Congress on Radiation ""}},""meetingId"":""525a815b435e4a4b84d1edc7190b2647"",""id"":""daf736da70f4498294115cd1025a0302""}],""name"":""International Congress on Radiation Research Annual Meeting"",""location"":""Montreal, Quebec"",""id"":""525a815b435e4a4b84d1edc7190b2647"",""url"":""https://na.eventscloud.com/website/49433/"",""startDate"":""2023-08-26T05:00:00.0000000+00:00""}]",PUBLIC,"[""10449.2.01.02.11.0771""]",undefined,"[""Space Radiation""]",[],https://ntrs.nasa.gov/citations/20230012405
20230012450,POSTER,Overview of The Inaugural Space Health Impacts for the NASA Experience (SHINE) Training Program - Virtual Space Radiation Curriculum,"[""Janice A. Zawaski"",""S. Robin Elgart"",""Sigrid Reinsch""]","The Space Radiation Element part of NASA Human Research Program initiated a virtual, annual space radiation curriculum. The SHINE space radiation curriculum aims to educate participants not only in the scientific aspects of space radiation but also in the agency’s risk management strategies. SHINE combines weekly seminars by speakers from NASA, other government agencies, academia, and industry, with networking sessions designed to foster collaboration between participants and interactions with NASA scientists. A total of 59 applications were received from which 25 participants were selected. The 25 participants, with citizenship from a total of 8 countries, are composed of 5 graduate students, 4 postdocs, 11 scientists and 5 professors/medical doctors. Participants have a wide range of expertise including molecular and cellular biology, microbiology, botany, physiology, engineering, physics, aerospace medicine, planetary science, biostatistics, and modeling. The inaugural course ran weekly from February 2023 to August 2023 and was comprised of lectures, less formal coffee hours and office hours. The topics covered ranged from space environments to health effects to granting opportunities. The second annual SHINE training program is scheduled from February to August 2024. In addition, a separate competitive practicum session, to allow participants to gain hands-on radiation experience, will be held Fall 2024 at the NASA Space Radiation Laboratory (NSRL). ",[],"[{""country"":""CA"",""submissionId"":20230012450,""endDate"":""2023-08-31T05:00:00.0000000+00:00"",""sponsors"":[{""organizationId"":""426499858bfb5eeebee9bd0b63129b00"",""meta"":{""organization"":{""name"":""Radiation Research Society"",""location"":""Bozeman, Montana, United States""}},""meetingId"":""426fccdd96994d01bcfbb13d67eb06f5"",""id"":""4384dd2108074062a762b1017fa90138""}],""name"":""17th International Congress for Radiation Research"",""location"":""Montreal"",""id"":""426fccdd96994d01bcfbb13d67eb06f5"",""url"":""https://na.eventscloud.com/website/49433/"",""startDate"":""2023-08-27T05:00:00.0000000+00:00""}]",PUBLIC,"[""NNJ15HK11B""]",undefined,"[""Space Radiation""]",[],https://ntrs.nasa.gov/citations/20230012450
20240002605,CONFERENCE_PAPER,RadLab: A Comprehensive Database and Analysis Toolkit for Space Radiation Measurements Relevant to Space Radiation Biology,"[""Kirill Grigorev"",""Ana Eveina Uriarte Acuna"",""Lauren Marie Sanders"",""Danielle Kristine Lopez"",""Ryan Thomas Scott"",""Samrawit Getachew Gebre"",""Jack Miller"",""Livio Narici"",""Sylvain V Costes""]","RadLab, a new addition to the NASA Open Science Data Repository (OSDR), is a public platform for space radiation data relevant to human space exploration. RadLab consists of a database, a submission portal, and user-friendly visualization and data analysis tools, including a graphical user interface (GUI) and an application programming interface (API). 

Investigators from ISS partners including Germany, Italy, Canada, Hungary, the Czech Republic, Russia, Japan have committed to providing data from their instruments. RadLab will also include data from other spacecraft in LEO: the Space Shuttle, the Mir space station, biosatellites; and beyond LEO: the lunar and the Martian surface, the heliocentric orbit at 1 AU, Mars orbit, and Earth-Mars space. 

Once fully operational, RadLab will provide open, centralized access to space radiation physics data relevant to human space exploration; a platform for submission of data by agencies and research institutions responsible for radiation detectors deployed in space; analysis tools to facilitate detector and dataset intercomparison to better understand space habitat radiation environments; capabilities for space biology investigators to determine the radiation environment to which samples were exposed.

A RadLab Working Group (RLWG) has been formed, modeled on the GeneLab Analysis Working Groups and comprised of data contributors and users. RLWG tasks include identifying data sources, normalizing data from diverse detectors, expanding the analysis toolkit and, perhaps most importantly, sharing ideas for research exploiting capabilities of RadLab.

We will provide an overview of RadLab data and capabilities and discuss examples of its potential as a resource for open science.",[],"[{""country"":""US"",""submissionId"":20240002605,""endDate"":""2024-05-02T04:00:00.0000000+00:00"",""sponsors"":[{""organizationId"":""e53641f275f15469a1b19a8980e09171"",""meta"":{""organization"":{""name"":""National Aeronautics and Space Administration"",""location"":""Washington, United States""}},""meetingId"":""e1892323169842beabddce80dd3c74b5"",""id"":""baaf33c603af44e093bc194fcb490019""}],""name"":""Open Science Data Repository (OSDR) Analysis Working Group (AWG) Symposium 2024"",""location"":""Virtual"",""id"":""e1892323169842beabddce80dd3c74b5"",""startDate"":""2024-05-01T04:00:00.0000000+00:00""}]",PUBLIC,"[""719125.06.01.02.01.02"",""80NSSC18M0060"",""NNA14AB82C""]",undefined,"[""Life Sciences (General)""]",[],https://ntrs.nasa.gov/citations/20240002605
20230016079,PRESENTATION,LEIA: An Investigation of Radiation Risks to Biology at the Lunar South Pole,"[""A Mark Settles"",""Natalie N Ball"",""Jared T Broddrick"",""Jessica W Chau"",""Bent Ehresmann"",""Diana M Gentry"",""Jennifer Gil Acevedo"",""Chinmayee Govinda Raj"",""Lena Heffern"",""Aditya Hindupur"",""Leandro James"",""Jessica A Lee"",""Lauren C Liddell"",""Linda Timucin"",""Sandra T Vu"",""David L Pletcher"",""Donald M Hassler"",""Sergio Santa Maria""]","Radiation and reduced gravity pose biological risks to crewed deep space exploration. At the cellular level, radiation damage can be amplified by reduced gravity. Empirical evidence on cellular responses to beyond low Earth orbit (BLEO) environments is imperative to develop effective countermeasures for crew health and in-space biomanufacturing. The Lunar Explorer Instrument for Space Biology Applications (LEIA) project is developing an instrument suite to be delivered to the south polar region of the Moon by the Commercial Lunar Payload Services (CLPS) program. This presentation will provide an overview of the LEIA hardware, experiments, and mission timeline.

The LEIA instruments include the BioSensor, the ARES charged particle detector, and the Mini-FND. The BioSensor is an autonomous light emitting diode (LED)-based spectrophotometer and microfluidic incubator. The BioSensor activates yeast cultures and can measure cell growth, metabolic activity, and carotenoid production. The ARES is a Timepix-based charged particle radiation detector that measures dose, dose rate, and linear energy transfer spectra. The Mini-FND is a fast neutron detector that measures albedo neutron flux and energy spectra. Combined, these instruments will be used for yeast genetics experiments to quantify growth, metabolism, and synthetic biology-enabled production of human nutrients, while taking real time measurements of biologically relevant radiation exposure on the lunar surface. These data will be used to test the importance of selected DNA damage repair and reactive oxygen species defense pathways in mitigating cellular damage from lunar surface radiation.",[],"[{""country"":""US"",""submissionId"":20230016079,""endDate"":""2023-11-18T08:00:00.0000000+00:00"",""sponsors"":[{""organizationId"":""42ca85bbf3b75cad8841938b20f13730"",""meta"":{""organization"":{""name"":""American Society for Gravitational and Space Research"",""location"":""Springfield, Virginia, United States""}},""meetingId"":""53ce1a9ebb2f4125a365c481e1e5fd3e"",""id"":""b1f447a077304c28a10963d9eda43b8f""}],""name"":""Annual Meeting of the American Society for Gravitational and Space Research (ASGSR)"",""location"":""Washington, D.C."",""id"":""53ce1a9ebb2f4125a365c481e1e5fd3e"",""url"":""https://asgsr.org/2023-meeting/"",""startDate"":""2023-11-14T08:00:00.0000000+00:00""}]",PUBLIC,"[""207022.05.02.01.04.01.02""]",undefined,"[""Life Sciences (General)""]",[],https://ntrs.nasa.gov/citations/20230016079
20220000484,POSTER,INCREASING THE TRANSPARENCY AND REPRODUCIBILITY OF SPACE RADIATION SCIENCE: THE RADIATION BIOLOGY ONTOLOGY,"[""D C Berrios"",""J Miller"",""P N Schofield"",""L T Slater"",""S V Costes""]","Among the primary objectives of the Open/Open-Source Science paradigm are making scientific investigation data transparent and results reproducible [1], objectives shared by the FAIR principles [2]. To accomplish this, the conceptual framework that includes all the investigation objects needs to be accurately captured and communicated to all data consumers. A large part of this requires using metadata standards to annotate data collected. These standards should be readily accessible, informed by scientific community consensus and sufficiently specific to encompass all of the important aspects of the investigation. Starting in 2020 we have been co-leading an open consortium to develop a new metadata standard, the Radiation Biology Ontology (RBO), through the Open Biological and Biomedical Ontologies (OBO) Foundry [3]. We began by transforming many of the terms from the National Council on Radiation Protection and Measurement into concepts that can be formally related to existing OBO Foundry classes or attributes. We then identified and imported into the RBO existing OBO Foundry classes that have obvious relevance for radiation biomedicine (for example, concepts from the Environment Ontology that describe radiative processes, and concepts from the Gene Ontology dealing with molecular and cellular responses to radiation). Finally, we scrutinized datasets from investigations of radiation effects held in NASA GeneLab and LSDA repositories and added additional classes, instances, and attributes into the RBO that should be used to annotate these data. We developed the RBO using the open-source tools of GitHub and publish the RBO periodically through the NIH/NCBI BioPortal website, so systems worldwide can leverage the knowledge it contains [4]. This initial phase of concept modeling has yielded an RBO that at present has more than 300 declared concepts, with more than 3500 additional concepts imported from other OBO Foundry ontologies. While this first phase has focused on concepts for annotating samples, environments, exposures, and measurements, the next phase will center on supporting annotation of results and findings, such as concept models of molecular, cellular and tissue effects. The value of the RBO will be determined in part by our ability to engage the community in its development, and we have established a Radiobiology Informatics Consortium with unrestricted membership as the owner of the RBO in order to encourage investigators, system owners and other to join in this effort. Anyone can report issues or request new concept modeling or other features directly on GitHub. By using the BioPortal application programming interface, systems can pose dynamic queries to the latest version of the RBO for information on individual classes or entire hierarchies; this design eliminates the need for systems to be updated in order to use newer versions of the RBO. We hope to contribute to the advancement of open radiobiological science through the continued, open development of the RBO, that will provide more precise, machine-interpretable descriptions of investigations, as well as support data meta-analysis through machine learning or other artificial intelligence methods.",[],"[{""country"":""US"",""submissionId"":20220000484,""endDate"":""2022-02-10T08:00:00.0000000+00:00"",""sponsors"":[{""organizationId"":""e53641f275f15469a1b19a8980e09171"",""meta"":{""organization"":{""name"":""National Aeronautics and Space Administration"",""location"":""Washington D.C., District of Columbia, United States""}},""meetingId"":""4d6625fc0714427f90d9d7495b001edb"",""id"":""a2e9c17e589741ec92701e33a8e1a3b3""}],""name"":""Human Research Program Investigators Workshop 2022"",""location"":""Virtual"",""id"":""4d6625fc0714427f90d9d7495b001edb"",""url"":""https://web.cvent.com/event/cd16f7a7-974e-441a-9378-8875e486b73b/websitePage:dce30028-529a-4c12-8d35-c55bdec57510?locale=en-US&i=SJzp6pe8fU6smd_UstjpcA"",""startDate"":""2022-02-07T08:00:00.0000000+00:00""}]",PUBLIC,"[""NASA"",""NNA14AB82C"",""NASA""]",undefined,"[""Computer Programming And Software""]",[],https://ntrs.nasa.gov/citations/20220000484
20230009143,CONFERENCE_PAPER,LEIA: An Investigation of Radiation Risks to Biology at the Lunar South Pole,"[""Andrew Mark Settles"",""Natalie Nicole Ball"",""Jared T Broddrick"",""Jessica Win Chau"",""Bent Ehresmann"",""Diana Marron Gentry"",""Jennifer Gil Acevedo"",""Chinmayee Govinda Raj"",""Lena Elizabeth Heffern"",""Aditya Hindupur"",""Leandro M James"",""Jessica A Lee"",""Lauren Courtney Liddell"",""Linda R Timucin"",""Sandra Thuy Vu"",""David L Pletcher"",""Donald M Hassler"",""Sergio Renan Santa Maria""]","Radiation and reduced gravity pose biological risks to crewed deep space exploration. At the cellular level, radiation damage can be amplified by reduced gravity. Empirical evidence on cellular responses to beyond low Earth orbit (BLEO) environments is imperative to develop effective countermeasures for crew health and in-space biomanufacturing. The Lunar Explorer Instrument for Space Biology Applications (LEIA) project is developing an instrument suite to be delivered to the south polar region of the Moon by the Commercial Lunar Payload Services (CLPS) program. This presentation will provide an overview of the LEIA hardware, experiments, and mission timeline.

The LEIA instruments include the BioSensor, the ARES charged particle detector, and the Mini-FND. The BioSensor is an autonomous light emitting diode (LED)-based spectrophotometer and microfluidic incubator. The BioSensor activates yeast cultures and can measure cell growth, metabolic activity, and carotenoid production. The ARES is a Timepix-based charged particle radiation detector that measures dose, dose rate, and linear energy transfer spectra. The Mini-FND is a fast neutron detector that measures albedo neutron flux and energy spectra. Combined, these instruments will be used for yeast genetics experiments to quantify growth, metabolism, and synthetic biology-enabled production of human nutrients, while taking real time measurements of biologically relevant radiation exposure on the lunar surface. These data will be used to test the importance of selected DNA damage repair and reactive oxygen species defense pathways in mitigating cellular damage from lunar surface radiation.",[],"[{""country"":""US"",""submissionId"":20230009143,""endDate"":""2023-11-18T08:00:00.0000000+00:00"",""sponsors"":[{""organizationId"":""42ca85bbf3b75cad8841938b20f13730"",""meta"":{""organization"":{""name"":""American Society for Gravitational and Space Research"",""location"":""Springfield, Virginia, United States""}},""meetingId"":""c7360a2177e740ea82d476afb883ffab"",""id"":""546e006d8a5e45d2a8adca30bf7e1905""}],""name"":""Annual Meeting of the American Society for Gravitational and Space Research (ASGSR)"",""location"":""Washington, D.C."",""id"":""c7360a2177e740ea82d476afb883ffab"",""url"":""https://asgsr.org/2023-meeting/"",""startDate"":""2023-11-14T08:00:00.0000000+00:00""}]",PUBLIC,"[""207022.05.02.01.04.01.02""]",undefined,"[""Life Sciences (General)""]",[],https://ntrs.nasa.gov/citations/20230009143
20230014482,CONFERENCE_PAPER,NASA's Space Health Impacts for the NASA Experience (SHINE) Training Program – Space Radiation Curriculum,"[""Sigrid S. Reinsch"",""S. Robin Elgart"",""Gregory A. Nelson"",""Brock Sishc"",""Janapriya Saha"",""Peter Guida"",""Sergio Santa Maria"",""Jason Weeks"",""Janice A. Zawaski""]","In February 2023, the Space Radiation Element of the NASA Human Research Program initiated a virtual, annual space radiation curriculum. The Space Health Impacts for the NASA Experience (SHINE) Space Radiation Didactic Curriculum aims to educate participants not only in the scientific aspects of space radiation but also in the agency’s risk management strategies. SHINE Space Radiation Didactic Curriculum combined weekly seminars by speakers from NASA, other government agencies, academia, and industry, with networking sessions designed to foster collaboration between the competitively selected participants as well as interactions with NASA scientists and HRP funded investigators. The inaugural course ran weekly from February 2023 to August 2023 and was comprised of lectures, less formal coffee hours, and office hours. Each two-hour seminar sessions hosted 1-3 presentations on topics which ranged from the space radiation environment to health effects and countermeasure to granting opportunities. All lectures were recorded and will be published on the THREE (The Health Risks of Extraterrestrial Environments) website for public access (https://three.jsc.nasa.gov/). As a course requirement, participants developed individual or collaborative beam time proposals for real, proposed, or potential experiments at the NASA Space Radiation Laboratory (NSRL) at the Brookhaven National Laboratory. For the 2023 course, 25 participants were selected from a total of 59 applicants. Selected participants were citizens from 8 countries and comprised 5 graduate students, 4 postdocs, 11 scientists and 5 professors/medical doctors. Participants had a wide range of expertise including molecular and cellular biology, microbiology, botany, physiology, engineering, physics, aerospace medicine, planetary science, biostatistics, and modeling. The second annual SHINE training program is scheduled from February to August 2024. In addition, a separate SHINE Space Radiation Practicum session will be held in Fall 2024 at the NSRL. The SHINE Space Radiation Practicum is a unique opportunity that has not been available to the public since the closure of the NASA Space Radiation Summer School in 2017 and will allow a small cohort of participants competitively selected in Fall 2023 to gain hands-on radiation experience.",[],"[{""country"":""US"",""submissionId"":20230014482,""endDate"":""2024-02-16T08:00:00.0000000+00:00"",""sponsors"":[{""organizationId"":""e53641f275f15469a1b19a8980e09171"",""meta"":{""organization"":{""name"":""National Aeronautics and Space Administration"",""location"":""Washington D.C., District of Columbia, United States""}},""meetingId"":""69df4bfee3fb499b9e27c23901a28619"",""id"":""4f38cdf3a2a346e5af90d612d9cf55b8""}],""name"":""NASA HRP Investigators' Workshop (IWS)"",""location"":""Galveston, TX"",""id"":""69df4bfee3fb499b9e27c23901a28619"",""url"":""https://www.abstractscorecard.com/cfp/home.asp?EventKey=DPPWZUCK"",""startDate"":""2024-02-13T08:00:00.0000000+00:00""}]",PUBLIC,"[""NNJ15HK11B""]",undefined,"[""Space Radiation""]",[],https://ntrs.nasa.gov/citations/20230014482
