Title,Abstract,Authors,Source,Summary
Protective effects of Fraxinus Micrantha against thioacetamide-induced hepatic encephalopathy: a focus on antioxidant and neuroprotective mechanisms.,"Hepatic encephalopathy (HE) is a multifaceted neuropsychiatric syndrome frequently observed in patients with liver dysfunction. The present study aimed to evaluate the therapeutic effects of Fraxinus micrantha (F. micrantha) in thioacetamide (TAA)-induced HE model. HE was induced using TAA (200 mg/kg i.p.) for once every 48 h for 14 consecutive days in rats. Ethyl acetate fraction of F. micrantha (EAFM) (50, 100, and 200 mg/kg) was administered for 14 consecutive days (p.o.) after HE induction. TAA induced hepatotoxicity and HE, evidenced by significant alterations in liver biomarkers alanine transaminase (ALT), aspartate transaminase (AST), alkaline phosphatase (ALP), lipid profiles (triglycerides, cholesterol), and neurotransmitter levels (serotonin, acetylcholine, dopamine, norepinephrine). Histopathological analysis revealed severe liver necrosis, inflammation, and brain damage, characterized by reduced neuronal density and hippocampal degeneration. EAFM treatment produced a significant, dose-dependent amelioration of TAA-induced liver injury, evidenced by the normalization of serum biomarkers (ALT, AST, ALP) and lipid profiles (cholesterol, triglycerides), with the 200 mg/kg dose showing efficacy comparable to silymarin. EAFM also exerted potent neuroprotective effects, restoring the altered levels of key neurotransmitters (serotonin, dopamine, norepinephrine) and reducing elevated acetylcholinesterase activity in the brain cortex and hippocampus. Furthermore, EAFM significantly mitigated oxidative stress by replenishing depleted reduced glutathione (GSH) levels in both hepatic and brain tissues. Histopathological analysis confirmed these findings, demonstrating that EAFM attenuated TAA-induced hepatocellular necrosis, inflammation, and hippocampal neurodegeneration. The results indicate that F. micrantha confers robust hepatoprotective and neuroprotective effects against HE, primarily mediated through its antioxidant activity and restoration of neurochemical balance, positioning it as a promising therapeutic candidate.","Ritupal, Singh, Singh, Singh",PubMed, Hepatic encephalopathy (HE) is a multifaceted neuropsychiatric syndrome frequently observed in patients with liver dysfunction . The present study aimed to evaluate the therapeutic effects of Fraxinus micrantha in thioacetamide (TAA)-induced HE model . HE was induced
Effect of neoadjuvant chemotherapy on years of life lost in radical cystectomy-treated T2N0M0 bladder cancer patients.,"Neoadjuvant chemotherapy (NAC) followed by radical cystectomy (RC) is standard of care for T2N0M0 urothelial carcinoma of urinary bladder (UCUB) patients. However, the effect of NAC on years of life lost (YLL) in RC-treated T2N0M0 patients has never been quantified.","Longoni, Falkenbach, Marmiroli, Le, Nicolazzini, Catanzaro, Polverino, Goyal, Graefen, Ferro, Chun, Volpe, Schiavina, Longo, Saad, Shariat, Quarta, Moschini, Gandaglia, Montorsi, Briganti, Karakiewicz",PubMed, Neoadjuvant chemotherapy (NAC) followed by radical cystectomy (RC) is standard of care for T2N0M0Urothelial carcinoma of urinary bladder (UCUB) patients . Effect of NAC on years of life lost (YLL)
Vestibulo-sympathetic interaction and otolith function in postural orthostatic tachycardia syndrome.,"The association between blood pressure variability (BPV) or heart rate variability (HRV) and the baroreflex is well established. However, the role of the vestibular-autonomic reflex in regulating BP and HR stability has primarily been explored only in experimental studies. We aimed to delineate the association of BPV and HRV with otolith function in postural orthostatic tachycardia syndrome (POTS).","Woo, Kim, Kim, Park, Lee, Park, Kim, Kim, Kim",PubMed, The association between blood pressure variability (BPV) or heart rate variability (HRV) and the baroreflex is well established . We aimed to delineate the association of BPV and HRV with otolith function in postural orthostatic tachycardia syndrome (P
Electrophoresis-based electrochemical sensor for rapid detection of sialic acid in human serum.,"A novel electrochemical sensor is introduced that significantly accelerates sialic acid (SA) detection by utilizing an electrophoresis device, which reduces the binding time from 20 to 5 min. The results indicate that the current signal change (ΔI) of the sensor is more than twofold higher than that of conventional sensors after 5 min. Furthermore, to enhance the intensity of the sensor's signal and simplify the operational procedure, we employed a method that electrochemically reduces graphene oxide/3-aminophenylboronic acid (GO/APBA) to reduced graphene oxide/3-aminophenylboronic acid (rGO/APBA) in a single step. This reduction process effectively removes some oxygen groups from GO, further enhancing the current signal. The linear detection range for SA was between 0.1 mM and 3 mM, with a detection limit of 0.084 mM (S/N = 3). Notably, the electrophoresis-enhanced sensor can successfully detect SA in actual human serum samples. Overall, this sensor represents a significant advancement in the electrochemical sensing of SA, providing a rapid, selective, and cost-effective approach for developing electric field-enhanced detection technologies.","Ming, Wu, Yin, Zuo, Lu, Wu, Li, Tang, Liu, Hou, Hu, Zang",PubMed, A novel electrochemical sensor significantly accelerates sialic acid (SA) detection by utilizing an electrophoresis device . The current signal change (ΔI) of the sensor is more than twofold higher than that of conventional sensors after 5min. The linear detection range for
Selective facilitation of short latency postural reflexes by instability.,"We sought to determine if enhancement of postural reflexes occurs specifically in response to instability induced by leaning and the possible neural level at which this may be mediated. Healthy participants (n = 10; 37 ± 15 years) were asked to adopt leaning postures to increase postural instability. Recordings of postural, eye and neck muscles and from over the cerebellum were made during stable upright stance and with the feet plantarflexed or dorsiflexed. The latter postures were used to modulate tonic activity levels in the soleus and tibialis anterior (TA) muscles to a similar degree to leaning. External perturbations were delivered to the trunk [vertebra prominens (C7) and upper sternum] and at the mastoids. C7 stimulation produced larger short latency (SL) reflex amplitudes in soleus during forwards lean than upright stance, when using matched tonic levels, although SL amplitudes in TA in response to sternal stimulation were unaffected when tonic activity was matched. Cerebellar evoked responses were larger during anterior than posterior lean for truncal stimuli. Mastoid stimulation generally evoked larger responses in the legs during lean than during upright stance with matching tonic EMG levels. Vestibular and non-vestibular responses recorded from the sternocleidomastoid muscles were often larger during posterior lean, independent of the direction of mastoid stimulation. Short-latency vestibular evoked cerebellar responses and extraocular responses were unaffected by posture. Facilitation of postural reflexes by instability occurred for axially-evoked postural reflexes in soleus but not TA. We propose that this effect is mediated by modulation of descending brainstem projections.","Govender, Hochstrasser, Todd, Colebatch",PubMed," Healthy participants were asked to adopt leaning postures to increase postural instability . Recordings of postural, eye and neck muscles and from over the cerebellum were made during stable upright stance . The latter postures modulate tonic activity levels in the soleus and tibial"
Improvement in Motor Consistency and Stability with Foslevodopa/Foscarbidopa in Advanced Parkinson's Disease: Post Hoc Analysis of Two Phase 3 Clinical Trials.,"People with advanced Parkinson's disease (aPD) frequently experience unpredictable ""Off"" time and debilitating motor fluctuations. Foslevodopa/foscarbidopa (LDp/CDp), a levodopa/carbidopa (LD/CD) prodrug, is delivered as a 24-h continuous subcutaneous infusion. This post hoc analysis evaluated the efficacy of LDp/CDp in achieving consistent motor symptom control and stable motor states in people with aPD.","Pahwa, Aldred, Soileau, Standaert, Fung, Kimber, Malaty, Santos-García, Carroll, Henriksen, Parab, Yan, Facheris, Spiegel, Harmer, Zamudio, Chaudhuri",PubMed," Foslevodopa/foscarbidopa (LDp/CDp) is delivered as a 24-h continuous subcutaneous infusion . People with advanced Parkinson's disease often experience unpredictable ""Off"" time and debilitating motor fluctuations ."
Curcumin: multifaceted biological actions and therapeutic implications-a narrative review.,"Curcumin, a bioactive polyphenol extracted from the rhizome of Curcuma longa, has garnered considerable attention for its wide-ranging pharmacological properties and potential therapeutic applications. This narrative review critically synthesizes current evidence on curcumin's multifaceted biological actions, encompassing its antioxidant, anti-inflammatory, anti-cancer, and metabolic regulatory effects. Extensive preclinical and clinical studies have demonstrated that curcumin exerts beneficial effects by modulating key cellular signaling pathways and mitigating oxidative stress and inflammatory responses. Despite its promising profile, clinical translation has been hampered by issues related to low bioavailability and rapid metabolism. Recent advances in novel formulation strategies and combination therapies, however, have shown potential in overcoming these limitations. This review uniquely consolidates recent mechanistic insights with clinical translation challenges, identifying specific gaps in bioavailability research and proposing novel combination therapy approaches that distinguish it from existing curcumin reviews, ultimately facilitating evidence-based therapeutic development.","Ghorbani-Nejad, Baghani, Amiri, Delche, Darijani, Soltani, Nezami, Rahimzadegan",PubMed," Curcumin, a bioactive polyphenol extracted from the rhizome of Curcuma longa, has garnered considerable attention for its wide-ranging pharmacological properties and potential therapeutic applications . Despite its promising profile, clinical translation has been hampered by issues related to low bioavailability"
Anesthesia and mitochondria: balancing toxicity and protection through emerging therapeutic strategies.,"Anesthesia is a cornerstone of modern surgical practice, enabling interventions by deliberately modulating nociception and consciousness-from localized analgesia and mild sedation to deep unconsciousness. Yet the molecular and cellular mechanisms that produce these reversible states remain only partly defined, constraining our ability to predict interpatient variability, prevent mitochondrial- and neurotoxicity-related adverse effects, and optimize agent selection, dosing, and timing across perioperative care. Beyond their intended effects, anesthetics and their adjuvants impose substantial physiological stress on the brain, metabolism, and immune system, with particularly pronounced risks in vulnerable populations such as pediatric and elderly patients with developing and otherwise fragile neural networks. Recent studies have highlighted mitochondria, the cell's energy processing unit and key regulator of homeostasis, as especially susceptible to anesthetic exposure. Evidence indicates that agents used in the perioperative period may disrupt mitochondrial function by altering oxidative phosphorylation, increasing reactive oxygen species (ROS) production, and impairing mitochondrial dynamics. Such disruptions can contribute to neurotoxicity, metabolic dysregulation, and immune suppression, potentially affecting postoperative recovery and long-term cognitive outcomes. This review critically examines emerging data on the interplay between anesthesia agents and mitochondrial function. We discuss the implications of mitochondrial dysfunction for neural health and postoperative recovery, and we highlight current and prospective strategies to possibly refine anesthesia drug protocols through targeted mitochondrial therapeutics. Ultimately, a deeper understanding of these mitochondrial interactions is imperative for developing safer, more effective anesthesia practices, especially for pediatric and other high-risk patient populations.","Zambrano, Castillo, Maldonado, Fritzhand, Miranda, Mujica, Viera-Catota, Castañeda, Vasconez, Caicedo, Gavilanes",PubMed," Anesthesia is a cornerstone of modern surgical practice, enabling interventions by deliberately modulating nociception and consciousness . Beyond their intended effects, anesthetics impose substantial physiological stress on the brain, metabolism and immune system ."
Impact of pet ownership in early childhood at ages 1 and 4-5 years on mental health at ages 7-8: findings from the INMA project.,We aimed to explore associations between the presence of pets at one and 4-5 years of age with internalizing and externalizing problems at 7-8 years.,"González, Guxens, Sarzo, Andiarena, Santa-Marina, Tardón, Julvez, Rodríguez-Dehli, Rebagliato, Estarlich",PubMed, We aimed to explore associations between the presence of pets at one and 4-5 years of age with internalizing and externalizing problems at 7-8 years .
Harnessing Next-Generation 3D Cancer Models to Elucidate Tumor-Microbiome Crosstalk.,"The tumor microenvironment (TME) is a complex and dynamic ecosystem increasingly recognized for its interplay with the microbiome. In colorectal, breast, lung, liver, and brain cancers, bacterial communities and their metabolites are shown to influence tumor progression, immune responses, and therapeutic outcomes. To study these interactions in physiologically relevant contexts, advanced 3D in vitro models have emerged, including spheroids, organoids, microfluidic organ-on-a-chip platforms, and 3D-bioprinted constructs. These systems provide spatial organization, mechanical cues, and co-culture capabilities that facilitate investigation of host-microbiome-tumor cross-talk. Incorporation of live bacteria, their metabolites, and immune components into these platforms has yielded new insights into how the microbiome shapes cancer behavior, inflammation, and drug resistance. This review outlines recent advances in 3D model development for studying tumor-microbiome interactions, highlighting organ-specific applications, extracellular matrix-mimicking hydrogels, and biofabrication strategies. It also addresses key challenges, including maintaining microbiome viability, modeling temporal dynamics, and integrating immune complexity. Overcoming these limitations requires interdisciplinary approaches that merge bioengineering, microbiology, and oncology. Evolving 3D platforms offer powerful tools for microbiome-informed cancer modeling and hold significant promise for advancing therapeutic screening and precision oncology.","Green Buzhor, Longobardi, Kandli, Krinsky, Avramoff, Katyal, Salomon, Miari, Venkert, Barnatan, García Alvarado, Greenberg, Satchi-Fainaro",PubMed," The tumor microenvironment (TME) is a complex and dynamic ecosystem increasingly recognized for its interplay with the microbiome . In colorectal, breast, lung, liver, and brain cancers, bacterial communities and their metabolites are shown to influence tumor progression, immune responses, and therapeutic"
